ind,sampling_year,sampling_month,sampling_loc,seq_library,library_type,SL_mm,TL_mm,mass_g,juvenile,raw_reads,assem_reads,assem_pct,pheno_ID,pheno_sex,pca_ID_RAD,pca_ID_GBS,entropy_ID,spp_agree,checkHets_quality,keep,comments,final_ID
CEW16_023,2016,July,Kigoma,lates01,GBS,,,15.2,Y,1442804,1346528,93.30%,Juv,,#N/A,#N/A,Lmic,TRUE,2,Y,Caught in littoral gill net,Lmic
CEW16_029,2016,July,Kigoma,lates01,GBS,,,,N,2160207,1986656,92.00%,Lang,,#N/A,#N/A,Lang,TRUE,2,Y,,Lang
CEW16_034,2016,July,Kigoma,lates01,GBS,,,,N,1888963,1722084,91.20%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,Bought from fisherman,Lsta
CEW16_135,2016,July,Kigoma,lates01,GBS,,,14.9,N,1896877,1728720,91.10%,Lsta,,#N/A,#N/A,Lsta,TRUE,1,Y,Bought from fisherman,Lsta
CEW17_120,2017,May,Kigoma,lates01,GBS,87.7,98.7,737,N,330239,267467,81.00%,Lang,,#N/A,#N/A,Lang,TRUE,4,N,Bought from fisherman in Kigoma Bay,#N/A
CEW17_123,2017,May,Kigoma,lates01,GBS,,,117,N,1744146,1557798,89.30%,Lsta,,#N/A,#N/A,Lsta,TRUE,4,N,Bought from fisherman in Kigoma Bay,#N/A
CEW17_126,2017,May,Kigoma,lates01,GBS,,,137,N,2127087,1915131,90.00%,Lsta,,#N/A,#N/A,Lsta,TRUE,3,N,Bought from fisherman in Kigoma Bay,#N/A
CEW17_150,2017,May,Kigoma,lates01,GBS,,,416,N,2019438,1831997,90.70%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,Bought from fisherman in Kigoma Bay,Lsta
CEW17_153,2017,May,Kigoma,lates01,GBS,,,134,N,1413586,1196744,84.70%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,Bought from fisherman in Kigoma Bay,Lsta
CEW17_155,2017,May,Kigoma,lates01,GBS,,,144,N,2566656,2342748,91.30%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,Bought from fisherman in Kigoma Bay,Lsta
CEW18_223,2018,July,Mpinbwe,lates03,GBS,,,,N,901590,848779,94.10%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
CEW18_224,2018,July,Mpinbwe,lates03,GBS,,,,N,651512,612140,94.00%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
CEW18_225,2018,July,Mpinbwe,lates03,GBS,,,,N,1175000,1115519,94.90%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
CEW18_226,2018,July,Mpinbwe,lates03,GBS,,,,N,946971,892568,94.30%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
CEW18_227,2018,July,Mpinbwe,lates03,GBS,,,,N,719459,675989,94.00%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
CEW18_228,2018,July,Mpinbwe,lates03,GBS,,,,N,855767,806015,94.20%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
