New_ID,Moran_FishID,Site,Location,Field.ID,Sex,Library,lates01,lates02,lates03,duplicate,Plate,entropy_dnaID,raxml_dnaID
lates01.CEW16_023,CEW16_023,Kalalangabo,Kigoma,Lmar,,lates01,T,F,F,T,"01_plate1,01_plate2",Lmar,Lmic
lates01.CEW16_029,CEW16_029,Kigoma bay,Kigoma,Lang,,lates01,T,F,F,T,"01_plate1,01_plate2",Lang,Lang
lates01.CEW16_030,CEW16_030,Kigoma bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW16_031,CEW16_031,Kigoma bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW16_032,CEW16_032,Kigoma bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW16_033,CEW16_033,Kigoma bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW16_034,CEW16_034,Kigoma bay,Kigoma,Lsta,,lates01,T,F,F,T,"01_plate1,01_plate2",Lsta,Lsta
lates01.CEW16_134,CEW16_134,Kigoma bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW16_135,CEW16_135,Kigoma bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW17_120,CEW17_120,Kigoma Bay,Kigoma,Lang,,lates01,T,F,F,T,"01_plate1,01_plate2",Lang,Lang
lates01.CEW17_121,CEW17_121,Kigoma Bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW17_122,CEW17_122,Kigoma Bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW17_123,CEW17_123,Kigoma Bay,Kigoma,Lsta,,lates01,T,F,F,T,"01_plate1,01_plate2",Lsta,Lsta
lates01.CEW17_124,CEW17_124,Kigoma Bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW17_125,CEW17_125,Kigoma Bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW17_126,CEW17_126,Kigoma Bay,Kigoma,Lsta,,lates01,T,F,F,T,"01_plate1,01_plate2",Lsta,Lsta
lates01.CEW17_127,CEW17_127,Kigoma Bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW17_150,CEW17_150,Kalalangabo,Kigoma,Lsta,,lates01,T,F,F,T,"01_plate1,01_plate2",Lsta,Lsta
lates01.CEW17_151,CEW17_151,Kalalangabo,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW17_152,CEW17_152,Kalalangabo,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW17_153,CEW17_153,Kalalangabo,Kigoma,Lsta,,lates01,T,F,F,T,"01_plate1,01_plate2",Lsta,Lsta
lates01.CEW17_154,CEW17_154,Kalalangabo,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates01.CEW17_155,CEW17_155,Kalalangabo,Kigoma,Lsta,,lates01,T,F,F,T,"01_plate1,01_plate2",Lsta,Lsta
lates01.CEW17_156,CEW17_156,Kalalangabo,Kigoma,Lsta,,lates01,T,F,F,F,01_plate1,Lsta,Lsta
lates03.CEW18_223,CEW18_223,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW18_224,CEW18_224,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW18_225,CEW18_225,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW18_226,CEW18_226,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW18_227,CEW18_227,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW18_228,CEW18_228,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW18_229,CEW18_229,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lunk,Lunk
lates03.CEW18_230,CEW18_230,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW18_231,CEW18_231,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW18_232,CEW18_232,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW18_233,CEW18_233,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW18_234,CEW18_234,Mpinbwe,Mpinbwe,Lsta,,lates03,F,F,T,F,03_plate2,Lsta,Lsta
lates03.CEW19_001,CEW19_001,Dar Es Salaam,Dar,Lspp,,lates03,F,F,T,F,03_plate1,Lnil,Lnil
lates03.CEW19_002,CEW19_002,Dar Es Salaam,Dar,Lspp,,lates03,F,F,T,F,03_plate1,Lnil,Lnil
lates03.CEW19_003,CEW19_003,Dar Es Salaam,Dar,Lspp,,lates03,F,F,T,F,03_plate1,Lnil,Lnil
lates03.CEW19_004,CEW19_004,Dar Es Salaam,Dar,Lspp,,lates03,F,F,T,F,03_plate1,Lnil,Lnil
lates03.CEW19_005,CEW19_005,Dar Es Salaam,Dar,Lspp,,lates03,F,F,T,F,03_plate1,Lnil,Lnil
lates03.CEW19_006,CEW19_006,Dar Es Salaam,Dar,Lspp,,lates03,F,F,T,F,03_plate1,Lnil,Lnil
lates03.CEW19_007,CEW19_007,Dar Es Salaam,Dar,Lspp,,lates03,F,F,T,F,03_plate1,Lnil,Lnil
lates03.CEW19_008,CEW19_008,Dar Es Salaam,Dar,Lspp,,lates03,F,F,T,F,03_plate1,Lnil,Lnil
lates03.CEW19_009,CEW19_009,Dar Es Salaam,Dar,Lspp,,lates03,F,F,T,F,03_plate1,Lnil,Lnil
lates03.CEW19_010,CEW19_010,Dar Es Salaam,Dar,Lspp,,lates03,F,F,T,F,03_plate1,Lnil,Lnil
lates03.CEW19_132,CEW19_132,Isonga,Isonga,Lsta,,lates03,F,F,T,F,03_plate1,Lsta,Lsta
lates03.CEW19_134,CEW19_134,Isonga,Isonga,Lmar,,lates03,F,F,T,F,03_plate1,Lmar,Lmic
lates03.CEW19_135,CEW19_135,Isonga,Isonga,Lang,,lates03,F,F,T,F,03_plate1,Lunk,Lunk
lates01.CEWxx_135,CEWxx_135,Kigoma Bay,Kigoma,Lsta,,lates01,T,F,F,F,01_plate2,Lsta,Lunk
lates01.DTR_0048,DTR_0048,"Cameroon, Djerem River, Adamaoua Regio",West_Africa,Lnil,,lates01,T,F,F,T,"01_plate1,01_plate2",Lnil,Lnil
lates03.FISHEC17_138942,FISHEC17_138942,Ikola,Ikola,Lmar,,lates03,F,F,T,F,03_plate1,Lmic,Lmar
lates03.FISHEC17_139054,FISHEC17_139054,Kipili,Kipili,Lmar,,lates03,F,F,T,F,03_plate1,Lang,Lang
lates03.FISHEC17_139055,FISHEC17_139055,Kipili,Kipili,Lmic,,lates03,F,F,T,F,03_plate1,Lmar,Lmic
lates03.FISHEC17_139056,FISHEC17_139056,Kipili,Kipili,Lmar,,lates03,F,F,T,F,03_plate1,Lang,Lang/Lmar
lates03.FISHEC17_139057,FISHEC17_139057,Kipili,Kipili,Lmar,,lates03,F,F,T,F,03_plate1,Lang,Lang
lates03.FISHEC17_139058,FISHEC17_139058,Kipili,Kipili,Lmar,,lates03,F,F,T,F,03_plate1,Lmar,Lmic
lates03.FISHEC17_139129,FISHEC17_139129,Kasanga,Kasanga,Lmar,,lates03,F,F,T,F,03_plate1,Lmic,Lmar
lates03.FISHEC17_139255,FISHEC17_139255,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate1,Lang,Lang
lates03.FISHEC17_139256,FISHEC17_139256,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate1,Lmic,Lmar
lates03.FISHEC17_139257,FISHEC17_139257,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate1,Lmic,Lmar
lates03.FISHEC17_139258,FISHEC17_139258,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate1,Lmic,Lmar
lates03.FISHEC17_139259,FISHEC17_139259,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate2,Lmic,Lmar
lates03.FISHEC17_139260,FISHEC17_139260,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate2,Lmic,Lmar
lates03.FISHEC17_139261,FISHEC17_139261,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate2,Lmic,Lmar
lates03.FISHEC17_139262,FISHEC17_139262,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate2,Lunk,Lunk
lates03.FISHEC17_139263,FISHEC17_139263,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate2,Lmic,Lmar
lates03.FISHEC17_139264,FISHEC17_139264,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate2,Lunk,Lunk
lates03.FISHEC17_139265,FISHEC17_139265,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate2,Lmic,Lmar
lates03.FISHEC17_139266,FISHEC17_139266,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate2,Lmic,Lmar
lates03.FISHEC17_139267,FISHEC17_139267,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate2,Lmic,Lmar
lates03.FISHEC17_139268,FISHEC17_139268,Kagunga,Kagunga,Lmar,,lates03,F,F,T,F,03_plate2,Lang,Lang
lates03.FISHEC17_139339,FISHEC17_139339,Kigoma,Kigoma,Lmar,,lates03,F,F,T,F,03_plate2,Lang,Lang
lates03.FISHEC17_139340,FISHEC17_139340,Kigoma,Kigoma,Lmar,,lates03,F,F,T,F,03_plate2,Lmic,Lmar
lates03.FISHEC17_139341,FISHEC17_139341,Kigoma,Kigoma,Lmar,,lates03,F,F,T,F,03_plate2,Lunk,Lunk
lates03.FISHEC17_139342,FISHEC17_139342,Kigoma,Kigoma,Lmic,,lates03,F,F,T,F,03_plate2,Lmar,Lmic
lates03.FISHEC17_139343,FISHEC17_139343,Kigoma,Kigoma,Lmar,,lates03,F,F,T,F,03_plate2,Lang,Lang
lates02.JAR18_139358,JAR18_139358,Mwanga,Kigoma,Lmic,F,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139359,JAR18_139359,Mwanga,Kigoma,Lmic,,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139360,JAR18_139360,Mwanga,Kigoma,Lmic,,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139361,JAR18_139361,Mwanga,Kigoma,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
