"pop1","pop2","fst_estimate","min_CI","max_CI","spp"
"Kigoma","Kagunga",0,-0.0125208002168333,0.00765778779035088,"Lang"
"Kirando","Kagunga",0,-0.0166872396093048,0.00605122462559492,"Lang"
"N_Mahale","Kagunga",0.0229261463073154,0.00569657922857018,0.0371131528340789,"Lang"
"S_Mahale","Kagunga",0.00457102672292546,-0.0072866861419662,0.0151597963809436,"Lang"
"Wampembe","Kagunga",0,-0.0222770709183936,0.000572842528782647,"Lang"
"Kirando","Kigoma",0.00329785685604177,0.000256730589844926,0.00641237317088441,"Lang"
"N_Mahale","Kigoma",0.00441186852922896,-0.00727024705200686,0.0144849734241963,"Lang"
"S_Mahale","Kigoma",0.00284538324320055,-0.00144463868112858,0.00958030011395497,"Lang"
"Wampembe","Kigoma",0,-0.00475047116948272,0.0021889250190208,"Lang"
"N_Mahale","Kirando",0.0070699212968448,-0.00246142292072492,0.0149371776423239,"Lang"
"S_Mahale","Kirando",0,-0.0101196594798863,0.00197784940499442,"Lang"
"Wampembe","Kirando",0,-0.00867419384297207,-0.000491228849747383,"Lang"
"S_Mahale","N_Mahale",0,-0.0159190392738001,0.0084076129461682,"Lang"
"Wampembe","N_Mahale",0.0134153441918099,0.00269387140959421,0.0233740791709266,"Lang"
"Wampembe","S_Mahale",0,-0.0102721689301678,0.0030544847891803,"Lang"
"Kagunga","Ikola",0,-0.0111918553190279,0.00941236926346864,"Lmar"
"Kasanga","Ikola",0.0744339708692721,0.0639038690439322,0.0863153791564982,"Lmar"
"Kigoma","Ikola",0,-0.0114772806897022,0.00807625719650822,"Lmar"
"Kirando","Ikola",0,-0.0153862929764023,0.0101133444339228,"Lmar"
"Wampembe","Ikola",0,-0.0142126802059038,0.00751991070587792,"Lmar"
"Kasanga","Kagunga",0.0748992585889189,0.0689858747419447,0.0791956165486773,"Lmar"
"Kigoma","Kagunga",0.000859009929409719,-0.00122880145906042,0.00308808007025033,"Lmar"
"Kirando","Kagunga",0.000295488886054822,-0.00354903752736084,0.00423857521009042,"Lmar"
"Wampembe","Kagunga",6.13859532016933e-05,-0.00203312604154498,0.00214054223003411,"Lmar"
"Kigoma","Kasanga",0.0756052617147035,0.0714194480416576,0.0794885393472478,"Lmar"
"Kirando","Kasanga",0.0751296565783485,0.0695320499992429,0.0811721374893519,"Lmar"
"Wampembe","Kasanga",0.0759196664443179,0.072237164070961,0.0810564164671446,"Lmar"
"Kirando","Kigoma",0.00141399151387369,-0.00247399544320692,0.00667105106448271,"Lmar"
"Wampembe","Kigoma",0.00143094447721325,-8.66961551283266e-05,0.00281702268118782,"Lmar"
"Wampembe","Kirando",0,-0.00338817455629902,0.00348512221434306,"Lmar"
"Kirando","Kigoma",0.00355467758920827,0.000788141931558402,0.00644669560240677,"Lmic"
"N_Mahale","Kigoma",0.0028294310774843,0.00111630677621658,0.00435201744591107,"Lmic"
"S_Mahale","Kigoma",0.00250645394246381,6.92620395019022e-05,0.0051873693460914,"Lmic"
"N_Mahale","Kirando",0.00740740704908591,0.00391366693734498,0.0107653507079833,"Lmic"
"S_Mahale","Kirando",0.00672348227556275,0.00233854696449338,0.0106364579832533,"Lmic"
"S_Mahale","N_Mahale",0.00525980929954953,0.00180735412024077,0.00915433211024536,"Lmic"
"Kasanga","Kagunga",0.000697985519099763,-0.000393366145925253,0.00173325530303201,"Lsta"
"Kigoma","Kagunga",0.00160173060988522,0.00049782870823391,0.00265945993949512,"Lsta"
"Kirando","Kagunga",0,-0.0878714077222831,-0.0735784639538215,"Lsta"
"Mpinbwe","Kagunga",0.00134449444401423,-0.000151840723296112,0.00295126251528952,"Lsta"
"N_Mahale","Kagunga",0.00998660461887063,0.0051209183430875,0.0142024903790476,"Lsta"
"S_Mahale","Kagunga",0.00119879274149998,-0.000433980348040336,0.00286621623660536,"Lsta"
"Wampembe","Kagunga",0,-0.0151226917015084,0.000963776816264327,"Lsta"
"Kigoma","Kasanga",0,-0.00129366397077092,0.00147390083936709,"Lsta"
"Kirando","Kasanga",0,-0.0867057054924555,-0.0743998807574225,"Lsta"
"Mpinbwe","Kasanga",0.0014943156617204,0.000251527003375737,0.00277481372337641,"Lsta"
"N_Mahale","Kasanga",0.00897335774251167,0.00444172309394357,0.0124892134742405,"Lsta"
"S_Mahale","Kasanga",0.00150126102306225,-0.000445139029658219,0.00358444301215348,"Lsta"
"Wampembe","Kasanga",0,-0.0176028660863896,0.00140285116071768,"Lsta"
"Kirando","Kigoma",0,-0.0864725860698716,-0.0724913048640911,"Lsta"
"Mpinbwe","Kigoma",0.00181559779173495,0.000560417768900859,0.00332724658273105,"Lsta"
"N_Mahale","Kigoma",0.00467357898026093,0.000201518793105945,0.00921743782635216,"Lsta"
"S_Mahale","Kigoma",0,-0.00242054483533929,0.00124842725821014,"Lsta"
"Wampembe","Kigoma",0,-0.0176453056489019,-0.0016278545336941,"Lsta"
"Mpinbwe","Kirando",0,-0.0881612889275214,-0.0733535702062573,"Lsta"
"N_Mahale","Kirando",0,-0.0876391044064145,-0.0651002971917325,"Lsta"
"S_Mahale","Kirando",0,-0.0877677176669952,-0.0722900621638742,"Lsta"
"Wampembe","Kirando",0,-0.11841467745763,-0.0855359421127563,"Lsta"
"N_Mahale","Mpinbwe",0.0122494385160028,0.00710980185071775,0.0181529189722964,"Lsta"
"S_Mahale","Mpinbwe",0.00174682207257078,-0.000140871798572276,0.0037380182639576,"Lsta"
"Wampembe","Mpinbwe",0,-0.0127553936165501,0.00435147124204089,"Lsta"
"S_Mahale","N_Mahale",0.00542915568628788,0.00196855779787865,0.0105636523860497,"Lsta"
"Wampembe","N_Mahale",0,-0.018857159932847,0.00394035787415371,"Lsta"
"Wampembe","S_Mahale",0,-0.0175439696361755,0.00132609676649394,"Lsta"
"Kagunga","Kigoma",0,-0.0125208002168333,0.00765778779035088,"Lang"
"Kagunga","Kirando",0,-0.0166872396093048,0.00605122462559492,"Lang"
"Kagunga","N_Mahale",0.0229261463073154,0.00569657922857018,0.0371131528340789,"Lang"
"Kagunga","S_Mahale",0.00457102672292546,-0.0072866861419662,0.0151597963809436,"Lang"
"Kagunga","Wampembe",0,-0.0222770709183936,0.000572842528782647,"Lang"
"Kigoma","Kirando",0.00329785685604177,0.000256730589844926,0.00641237317088441,"Lang"
"Kigoma","N_Mahale",0.00441186852922896,-0.00727024705200686,0.0144849734241963,"Lang"
"Kigoma","S_Mahale",0.00284538324320055,-0.00144463868112858,0.00958030011395497,"Lang"
"Kigoma","Wampembe",0,-0.00475047116948272,0.0021889250190208,"Lang"
"Kirando","N_Mahale",0.0070699212968448,-0.00246142292072492,0.0149371776423239,"Lang"
"Kirando","S_Mahale",0,-0.0101196594798863,0.00197784940499442,"Lang"
"Kirando","Wampembe",0,-0.00867419384297207,-0.000491228849747383,"Lang"
"N_Mahale","S_Mahale",0,-0.0159190392738001,0.0084076129461682,"Lang"
"N_Mahale","Wampembe",0.0134153441918099,0.00269387140959421,0.0233740791709266,"Lang"
"S_Mahale","Wampembe",0,-0.0102721689301678,0.0030544847891803,"Lang"
"Ikola","Kagunga",0,-0.0111918553190279,0.00941236926346864,"Lmar"
"Ikola","Kasanga",0.0744339708692721,0.0639038690439322,0.0863153791564982,"Lmar"
"Ikola","Kigoma",0,-0.0114772806897022,0.00807625719650822,"Lmar"
"Ikola","Kirando",0,-0.0153862929764023,0.0101133444339228,"Lmar"
"Ikola","Wampembe",0,-0.0142126802059038,0.00751991070587792,"Lmar"
"Kagunga","Kasanga",0.0748992585889189,0.0689858747419447,0.0791956165486773,"Lmar"
"Kagunga","Kigoma",0.000859009929409719,-0.00122880145906042,0.00308808007025033,"Lmar"
"Kagunga","Kirando",0.000295488886054822,-0.00354903752736084,0.00423857521009042,"Lmar"
"Kagunga","Wampembe",6.13859532016933e-05,-0.00203312604154498,0.00214054223003411,"Lmar"
"Kasanga","Kigoma",0.0756052617147035,0.0714194480416576,0.0794885393472478,"Lmar"
"Kasanga","Kirando",0.0751296565783485,0.0695320499992429,0.0811721374893519,"Lmar"
"Kasanga","Wampembe",0.0759196664443179,0.072237164070961,0.0810564164671446,"Lmar"
"Kigoma","Kirando",0.00141399151387369,-0.00247399544320692,0.00667105106448271,"Lmar"
"Kigoma","Wampembe",0.00143094447721325,-8.66961551283266e-05,0.00281702268118782,"Lmar"
"Kirando","Wampembe",0,-0.00338817455629902,0.00348512221434306,"Lmar"
"Kigoma","Kirando",0.00355467758920827,0.000788141931558402,0.00644669560240677,"Lmic"
"Kigoma","N_Mahale",0.0028294310774843,0.00111630677621658,0.00435201744591107,"Lmic"
"Kigoma","S_Mahale",0.00250645394246381,6.92620395019022e-05,0.0051873693460914,"Lmic"
"Kirando","N_Mahale",0.00740740704908591,0.00391366693734498,0.0107653507079833,"Lmic"
"Kirando","S_Mahale",0.00672348227556275,0.00233854696449338,0.0106364579832533,"Lmic"
"N_Mahale","S_Mahale",0.00525980929954953,0.00180735412024077,0.00915433211024536,"Lmic"
"Kagunga","Kasanga",0.000697985519099763,-0.000393366145925253,0.00173325530303201,"Lsta"
"Kagunga","Kigoma",0.00160173060988522,0.00049782870823391,0.00265945993949512,"Lsta"
"Kagunga","Kirando",0,-0.0878714077222831,-0.0735784639538215,"Lsta"
"Kagunga","Mpinbwe",0.00134449444401423,-0.000151840723296112,0.00295126251528952,"Lsta"
"Kagunga","N_Mahale",0.00998660461887063,0.0051209183430875,0.0142024903790476,"Lsta"
"Kagunga","S_Mahale",0.00119879274149998,-0.000433980348040336,0.00286621623660536,"Lsta"
"Kagunga","Wampembe",0,-0.0151226917015084,0.000963776816264327,"Lsta"
"Kasanga","Kigoma",0,-0.00129366397077092,0.00147390083936709,"Lsta"
"Kasanga","Kirando",0,-0.0867057054924555,-0.0743998807574225,"Lsta"
"Kasanga","Mpinbwe",0.0014943156617204,0.000251527003375737,0.00277481372337641,"Lsta"
"Kasanga","N_Mahale",0.00897335774251167,0.00444172309394357,0.0124892134742405,"Lsta"
"Kasanga","S_Mahale",0.00150126102306225,-0.000445139029658219,0.00358444301215348,"Lsta"
"Kasanga","Wampembe",0,-0.0176028660863896,0.00140285116071768,"Lsta"
"Kigoma","Kirando",0,-0.0864725860698716,-0.0724913048640911,"Lsta"
"Kigoma","Mpinbwe",0.00181559779173495,0.000560417768900859,0.00332724658273105,"Lsta"
"Kigoma","N_Mahale",0.00467357898026093,0.000201518793105945,0.00921743782635216,"Lsta"
"Kigoma","S_Mahale",0,-0.00242054483533929,0.00124842725821014,"Lsta"
"Kigoma","Wampembe",0,-0.0176453056489019,-0.0016278545336941,"Lsta"
"Kirando","Mpinbwe",0,-0.0881612889275214,-0.0733535702062573,"Lsta"
"Kirando","N_Mahale",0,-0.0876391044064145,-0.0651002971917325,"Lsta"
"Kirando","S_Mahale",0,-0.0877677176669952,-0.0722900621638742,"Lsta"
"Kirando","Wampembe",0,-0.11841467745763,-0.0855359421127563,"Lsta"
"Mpinbwe","N_Mahale",0.0122494385160028,0.00710980185071775,0.0181529189722964,"Lsta"
"Mpinbwe","S_Mahale",0.00174682207257078,-0.000140871798572276,0.0037380182639576,"Lsta"
"Mpinbwe","Wampembe",0,-0.0127553936165501,0.00435147124204089,"Lsta"
"N_Mahale","S_Mahale",0.00542915568628788,0.00196855779787865,0.0105636523860497,"Lsta"
"N_Mahale","Wampembe",0,-0.018857159932847,0.00394035787415371,"Lsta"
"S_Mahale","Wampembe",0,-0.0175439696361755,0.00132609676649394,"Lsta"
