ind,Field_ID,FishEC_num,sampling_year,sampling_month,sampling_loc,seq_library,SL_mm,TL_mm,mass_g,juvenile,data_type,raw_reads,assem_reads,assem_pct,pheno_ID,final_ID,assign_k2,assign_k3,assign_k4,assign_k5,assign_k6
CEW16_023,CEW16_023,#N/A,2016,July,Kigoma,lates01,NA,NA,15.2,Y,GBS,1442804,1346528,93.30%,Juv,Lmic,X2,X3,X1,X5,X4
CEW16_029,CEW16_029,#N/A,2016,July,Kigoma,lates01,NA,NA,NA,N,GBS,2160207,1986656,92.00%,Lang,Lang,X1,X3,X2,X3,X2
CEW16_034,CEW16_034,#N/A,2016,July,Kigoma,lates01,NA,NA,NA,N,GBS,1888963,1722084,91.20%,Lsta,Lsta,X2,NA,NA,NA,NA
CEW16_135,CEW16_135,#N/A,2016,July,Kigoma,lates01,NA,NA,14.9,N,GBS,1896877,1728720,91.10%,Lsta,Lsta,NA,NA,NA,NA,NA
CEW17_120,CEW17_120,#N/A,2017,May,Kigoma,lates01,87.7,98.7,737,N,GBS,330239,267467,81.00%,Lang,NA,NA,NA,NA,NA,NA
CEW17_123,CEW17_123,#N/A,2017,May,Kigoma,lates01,NA,NA,117,N,GBS,1744146,1557798,89.30%,Lsta,NA,NA,NA,NA,NA,NA
CEW17_126,CEW17_126,#N/A,2017,May,Kigoma,lates01,NA,NA,137,N,GBS,2127087,1915131,90.00%,Lsta,NA,NA,NA,NA,NA,NA
CEW17_150,CEW17_150,#N/A,2017,May,Kigoma,lates01,NA,NA,416,N,GBS,2019438,1831997,90.70%,Lsta,Lsta,X2,NA,NA,NA,NA
CEW17_153,CEW17_153,#N/A,2017,May,Kigoma,lates01,NA,NA,134,N,GBS,1413586,1196744,84.70%,Lsta,Lsta,X2,NA,NA,NA,NA
CEW17_155,CEW17_155,#N/A,2017,May,Kigoma,lates01,NA,NA,144,N,GBS,2566656,2342748,91.30%,Lsta,Lsta,X1,NA,NA,NA,NA
CEW18_223,CEW18_223,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,901590,848779,94.10%,Lsta,Lsta,X2,NA,NA,NA,NA
CEW18_224,CEW18_224,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,651512,612140,94.00%,Lsta,Lsta,X1,NA,NA,NA,NA
CEW18_225,CEW18_225,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,1175000,1115519,94.90%,Lsta,Lsta,X1,NA,NA,NA,NA
CEW18_226,CEW18_226,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,946971,892568,94.30%,Lsta,Lsta,X2,NA,NA,NA,NA
CEW18_227,CEW18_227,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,719459,675989,94.00%,Lsta,Lsta,X2,NA,NA,NA,NA
CEW18_228,CEW18_228,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,855767,806015,94.20%,Lsta,Lsta,X1,NA,NA,NA,NA
CEW18_229,CEW18_229,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,30238,28588,94.50%,Lsta,NA,NA,NA,NA,NA,NA
CEW18_230,CEW18_230,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,1499917,1427788,95.20%,Lsta,Lsta,X1,NA,NA,NA,NA
CEW18_231,CEW18_231,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,854104,806557,94.40%,Lsta,Lsta,X1,NA,NA,NA,NA
CEW18_232,CEW18_232,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,1198942,1131770,94.40%,Lsta,Lsta,X1,NA,NA,NA,NA
CEW18_234,CEW18_234,#N/A,2018,July,Mpinbwe,lates03,NA,NA,NA,N,GBS,1133111,1074305,94.80%,Lsta,Lsta,X2,NA,NA,NA,NA
CEW19_132,CEW19_132,#N/A,2019,July,S_Mahale,lates03,NA,NA,NA,N,GBS,1033269,975760,94.40%,Lsta,Lsta,X2,NA,NA,NA,NA
CEW19_134,CEW19_134,#N/A,2019,July,S_Mahale,lates03,NA,NA,NA,N,GBS,746632,703234,94.20%,Lmic,Lmic,X2,X3,X4,X2,X5
CEW19_135,CEW19_135,#N/A,2019,July,S_Mahale,lates03,NA,NA,NA,N,GBS,1733211,1635449,94.40%,Lang,Lang,X2,X2,X4,X1,X1
