Indv_ID,Moran_ID,Library,Spp,Pheno_Spp,CheckHets
KAT04,KAT04.GQI128,GQI128,Lsta,Lsta,3
KAT05,KAT05.GQI128,GQI128,Lsta,Lsta,2
KAT06,KAT06.GQI128,GQI128,Lsta,Lsta,3
KAT11,KAT11.GQI128,GQI128,Lsta,Lsta,3
KAT12,KAT12.GQI128,GQI128,Lsta,Lsta,4
KAT13,KAT13.GQI128,GQI128,Lsta,Lsta,2
KAT14,KAT14.GQI128,GQI128,Lsta,Lsta,3
KAT15,KAT15.GQI128,GQI128,Lsta,Lsta,3
KAT16,KAT16.GQI128,GQI128,Lsta,Lsta,4
KAT17,KAT17.GQI128,GQI128,Lsta,Lsta,3
KAT18,KAT18.GQI128,GQI128,Lsta,Lsta,4
KAT19,KAT19.GQI128,GQI128,Lsta,Lsta,3
IKO59,IKO59.GQI128,GQI128,Lsta,Lsta,2
IKO60,IKO60.GQI128,GQI128,Lsta,Lsta,2
IKO61,IKO61.GQI128,GQI128,Lsta,Lsta,3
IKO62,IKO62.GQI128,GQI128,Lsta,Lsta,3
IKO63,IKO63.GQI133,GQI133,Lsta,Lsta,2
IKO64,IKO64.GQI132,GQI132,Lsta,Lsta,1
IKO65,IKO65.GQI128,GQI128,Lsta,Lsta,2
IKO66,IKO66.GQI133,GQI133,Lsta,Lsta,1
IKO67,IKO67.GQI132,GQI132,Lsta,Lsta,1
IKO68,IKO68.GQI133,GQI133,Lsta,Lsta,1
IKO69,IKO69.GQI133,GQI133,Lsta,Lsta,1
IKO70,IKO70.GQI133,GQI133,Lsta,Lsta,1
IKO71,IKO71.GQI132,GQI132,Lsta,Lsta,1
IKO72,IKO72.GQI133,GQI133,Lsta,Lsta,1
IKO73,IKO73.GQI132,GQI132,Lsta,Lsta,1
IKO74,IKO74.GQI132,GQI132,Lsta,Lsta,1
IKO75,IKO75.GQI132,GQI132,Lsta,Lsta,1
IKO76,IKO76.GQI133,GQI133,Lsta,Lsta,1
IKO77,IKO77.GQI133,GQI133,Lsta,Lsta,1
IKO78,IKO78.GQI132,GQI132,Lsta,Lsta,1
IKO82,IKO82.GQI128,GQI128,Lsta,Lsta,1
IKO83,IKO83.GQI128,GQI128,Lsta,Lsta,4
IKO84,IKO84.GQI128,GQI128,Lsta,Lsta,2
IKO85,IKO85.GQI128,GQI128,Lsta,Lsta,2
IKO86,IKO86.GQI128,GQI128,Lsta,Lsta,2
IKO87,IKO87.GQI128,GQI128,Lsta,Lsta,3
IKO88,IKO88.GQI128,GQI128,Lsta,Lsta,3
KIP90,KIP90.GQI128,GQI128,Lsta,Lsta,3
KIP91,KIP91.GQI128,GQI128,Lsta,Lsta,3
KIP92,KIP92.GQI128,GQI128,Lsta,Lsta,3
KIP93,KIP93.GQI128,GQI128,Lsta,Lsta,2
KIP94,KIP94.GQI128,GQI128,Lsta,Lsta,3
KIP95,KIP95.GQI128,GQI128,Lsta,Lsta,2
KIP97,KIP97.GQI128,GQI128,Lsta,Lsta,2
KIP99,KIP99.GQI132,GQI132,Lsta,Lsta,2
KIP100,KIP100.GQI128,GQI128,Lsta,Lsta,4
KIP101,KIP101.GQI127,GQI127,Lsta,Lsta,4
KIP101,KIP101.GQI128,GQI128,Lsta,Lsta,4
KIP101,KIP101.GQI129,GQI129,Lsta,Lsta,4
KIP101,KIP101.GQI130,GQI130,Lsta,Lsta,4
KIP101,KIP101.GQI132,GQI132,Lsta,Lsta,4
KIP101,KIP101.GQI133,GQI133,Lsta,Lsta,4
KIP102,KIP102.GQI128,GQI128,Lsta,Lsta,3
KIP103,KIP103.GQI128,GQI128,Lsta,Lsta,3
KIP104,KIP104.GQI128,GQI128,Lsta,Lsta,4
KAS01,KAS01.GQI132,GQI132,Lsta,Lsta,1
KAS02,KAS02.GQI132,GQI132,Lsta,Lsta,1
KAS03,KAS03.GQI132,GQI132,Lsta,Lsta,1
KAS04,KAS04.GQI128,GQI128,Lsta,Lsta,2
KAS05,KAS05.GQI128,GQI128,Lsta,Lsta,2
KAS06,KAS06.GQI132,GQI132,Lsta,Lsta,1
KAS07,KAS07.GQI132,GQI132,Lsta,Lsta,1
KAS08,KAS08.GQI128,GQI128,Lsta,Lsta,3
KAS09,KAS09.GQI128,GQI128,Lsta,Lsta,2
KAS10,KAS10.GQI128,GQI128,Lsta,Lsta,2
KAS11,KAS11.GQI132,GQI132,Lsta,Lsta,2
KAS12,KAS12.GQI128,GQI128,Lsta,Lsta,2
KAS13,KAS13.GQI128,GQI128,Lsta,Lsta,2
KAS14,KAS14.GQI128,GQI128,Lsta,Lsta,2
KAS15,KAS15.GQI128,GQI128,Lsta,Lsta,3
KAS16,KAS16.GQI128,GQI128,Lsta,Lsta,3
KAS17,KAS17.GQI132,GQI132,Lsta,Lsta,2
KAS18,KAS18.GQI132,GQI132,Lsta,Lsta,1
KAS19,KAS19.GQI128,GQI128,Lsta,Lsta,2
KAS20,KAS20.GQI132,GQI132,Lsta,Lsta,2
KAS21,KAS21.GQI128,GQI128,Lsta,Lsta,2
KAS22,KAS22.GQI132,GQI132,Lsta,Lsta,2
KAS23,KAS23.GQI132,GQI132,Lsta,Lsta,2
KAS53,KAS53.GQI132,GQI132,Lsta,Lsta,1
KAG04,KAG04.GQI128,GQI128,Lsta,Lsta,2
KAG05,KAG05.GQI133,GQI133,Lsta,Lsta,1
KAG06,KAG06.GQI132,GQI132,Lsta,Lsta,2
KAG07,KAG07.GQI132,GQI132,Lsta,Lsta,1
KAG08,KAG08.GQI132,GQI132,Lsta,Lsta,2
KAG09,KAG09.GQI132,GQI132,Lsta,Lsta,2
KAG11,KAG11.GQI128,GQI128,Lsta,Lsta,3
KAG12,KAG12.GQI128,GQI128,Lsta,Lsta,4
KAG13,KAG13.GQI132,GQI132,Lsta,Lsta,4
KAG14,KAG14.GQI128,GQI128,Lsta,Lsta,3
KAG15,KAG15.GQI128,GQI128,Lsta,Lsta,4
KAG16,KAG16.GQI132,GQI132,Lsta,Lsta,2
KAG17,KAG17.GQI128,GQI128,Lsta,Lsta,3
KAG18,KAG18.GQI128,GQI128,Lsta,Lsta,3
KAG19,KAG19.GQI132,GQI132,Lsta,Lsta,2
KAG20,KAG20.GQI132,GQI132,Lsta,Lsta,1
KAG20,KAG20.GQI133,GQI133,Lsta,Lsta,3
KAG21,KAG21.GQI132,GQI132,Lsta,Lsta,3
KAG22,KAG22.GQI132,GQI132,Lsta,Lsta,2
KAG22,KAG22.GQI133,GQI133,Lsta,Lsta,2
KAG23,KAG23.GQI128,GQI128,Lsta,Lsta,2
KAG24,KAG24.GQI128,GQI128,Lsta,Lsta,2
KAG26,KAG26.GQI128,GQI128,Lsta,Lsta,3
KAG27,KAG27.GQI128,GQI128,Lsta,Lsta,3
KAG28,KAG28.GQI128,GQI128,Lsta,Lsta,2
KAT01,KAT01.GQI132,GQI132,Lspp,Lmic,0
KAT02,KAT02.GQI132,GQI132,Lspp,Lmic,0
KAT03,KAT03.GQI132,GQI132,Lspp,Lmic,0
IKO81,IKO81.GQI132,GQI132,Lmar,Lmar,0
KIP85,KIP85.GQI132,GQI132,Lmar,Lang,0
KIP86,KIP86.GQI132,GQI132,Lmic,Lmic,0
KIP87,KIP87.GQI132,GQI132,Lmar,Lang,0
KIP88,KIP88.GQI132,GQI132,Lmar,Lang,0
KIP89,KIP89.GQI132,GQI132,Lmar,Lmic,0
KIP98,KIP98.GQI132,GQI132,Lspp,Lsta,3
KAS55,KAS55.GQI132,GQI132,Lmar,Lmar,0
KAG89,KAG89.GQI132,GQI132,Lmar,Lang,0
KAG90,KAG90.GQI132,GQI132,Lmar,Lmar,0
KAG91,KAG91.GQI132,GQI132,Lmar,Lmar,0
KAG92,KAG92.GQI132,GQI132,Lmar,Lmar,0
KAG93,KAG93.GQI132,GQI132,Lmar,Lmar,0
KAG94,KAG94.GQI132,GQI132,Lmar,Lmar,0
KAG95,KAG95.GQI132,GQI132,Lmar,Lmar,0
KAG96,KAG96.GQI132,GQI132,Lmar,Lmar,0
KAG97,KAG97.GQI132,GQI132,Lspp,Lmar,0
KAG98,KAG98.GQI132,GQI132,Lmar,Lang,0
KAG99,KAG99.GQI132,GQI132,Lmar,Lmar,0
KAG100,KAG100.GQI132,GQI132,Lmar,Lmar,0
KAG101,KAG101.GQI132,GQI132,Lmar,Lmar,0
KAG102,KAG102.GQI132,GQI132,Lmar,Lang,0
