Name,Description,coords.x1,coords.x2,coords.x3
North Mahale,,29.83172673,-5.972042668,0
Kalalangabo,,29.6082,-4.843857,0
South Mahale,,29.94871128,-6.50740771,0
Nondwa,,29.60833,-4.860178,0
Jakobsen's Beach,,29.59838,-4.911023,0
Hilltop,,29.61335,-4.884965,0
Nkagongo,,29.60834984,-4.811120929,0
Skagongo,,29.60447436,-4.824595602,0
Kigoma Bay,,29.61577513,-4.869365523,0
Kagunga,,29.66028109,-4.449989441,0
Katonga (Kigoma),,29.6125435,-4.916476015,0
Karema,,30.4381511,-6.824443345,0
Kirando,,30.61325305,-7.369199355,0
Kasanga,,31.13507252,-8.451111364,0
Wampembe,,30.8384545,-7.936900098,0
Kalilani,,29.74320804,-6.021679364,0
Kabogo,,29.78155197,-5.491375864,0
Sibwesa,,29.95323484,-6.486650871,0
Kalya Beach,,30.02976447,-6.47044944,0
Ikola,,30.40635357,-6.77318204,0
Buhingu,,29.85561748,-5.97427242,0
Mpinbwe,,30.50488061,-7.110139379,0
Isonga,,,,
